latitude,longitude,size
37.09024,-95.712891,53
40.2847641472,-74.3037115547,53
28.2945447038,-81.4081265623,53
33.9996411094,-81.0377704868,53
32.794149766,-117.227174345,52
33.0581063,-112.0476423,52
34.0749060712,-117.23679799,28
39.3295183058,-76.7773988788,52
38.9716689,-95.2352501,52
44.0517325865,-123.083019483,52
-33.8652215865,151.208195613,53
43.6577214077,-70.2572832212,47
29.9846261647,-90.1919053471,51
39.165325,-86.5263857,51
37.566535,126.9779692,51
33.6091359475,-86.6349985288,50
42.331304024,-83.262700914,26
27.923785928,-82.287375864,50
35.0844909,-106.6511367,50
37.6922361,-97.3375448,49
33.4954064265,-86.8014353163,49
3.12917162245,101.667415594,58
33.1783617755,-96.6451019367,49
-8.67471789583,115.211099979,49
41.3406540542,-73.4544452271,49
38.0323163958,-84.4948259979,48
44.2403941468,-88.4255152915,47
39.4186823319,-76.5989385553,38
41.468350817,-81.4560214979,19
39.7294319,-104.8319195,47
36.7477272,-119.7723661,47
33.4844472739,-117.66820292,23
34.7536218891,-92.2814584935,46
33.0021550826,-117.278175587,46
33.8801484739,-117.564892539,53
30.485792437,-97.6596921848,46
44.9166148587,-92.9639329304,51
33.9306615089,-83.9942695622,45
33.9542992978,-117.396366298,45
32.9503707778,-96.8712069,45
40.4944541733,-88.9918900089,45
44.47861582,-73.1905964333,46
38.9849601711,-76.5148459689,44
42.3109886909,-71.4088683114,33
38.6244898364,-90.366635775,47
52.5218624682,13.4097726977,44
36.9842040886,-122.012046207,47
34.4215668767,-119.695114993,43
36.6048256953,-121.878665179,43
28.0809538302,-80.6030168,43
41.2405433953,-73.0771175744,43
34.2257255,-77.9447102,43
42.2077499512,-88.2968862395,43
38.8795874333,-94.8220437262,42
28.5402167214,-81.5603804762,41
45.0929507738,-93.2801330476,37
39.7377381476,-75.5493610619,47
38.9883413881,-76.8087280333,38
40.1156696905,-74.9158127548,49
45.6374656929,-122.659755179,44
33.2337880762,-111.62183855,42
39.9762902488,-75.6146522976,54
32.0547458902,-81.1022313902,41
30.4150489805,-87.2117385585,41
41.9562110902,-88.2586151024,30
40.7941645098,-77.8597418829,41
25.9134926049,-80.2747587098,59
39.5600307699,-104.793324102,47
34.094053465,-117.34064189,39
40.0983106625,-83.1116680625,39
-6.180277015,106.628722082,43
34.2694474,-118.781482,40
33.5106397974,-117.166855631,39
41.2214915077,-73.9122355667,35
41.7382202872,-88.3307622154,41
36.1539816,-95.992775,39
43.0708591026,-70.7667785462,38
43.1525875128,-87.9364759821,26
33.8033911316,-84.6749335053,38
13.7808861605,100.621637339,28
42.9559753237,-78.7881920289,41
37.7995116921,-121.988805526,34
43.5507277474,-79.6273582,38
47.3452536263,-122.266203163,32
38.3047222,-122.2988889,38
41.586962027,-81.4644931,29
36.0331164,-86.7827772,37
42.1207412528,-71.1769582028,18
33.5778631,-101.8551665,36
42.6106037444,-71.2955117222,46
45.4394853639,-122.792690561,36
40.4317234861,-79.8509033861,28
47.9911146167,-122.197913133,36
47.5317428194,-122.028527239,36
3.5849271,98.6771368,36
29.2156352086,-81.0275029457,35
41.8209311657,-72.5704635714,22
39.9631289629,-76.7260147714,35
36.3576868114,-94.1752844057,35
47.6587802,-117.4260466,35
18.4445299571,-66.1075669229,36
43.0336633457,-89.51136034,29
39.6851302286,-75.7476381514,37
55.7520085029,37.62012796,35
42.9893381686,-71.4662153171,35
41.6633589286,-83.5532595657,35
38.7261993714,-75.0849426743,35
34.0709995706,-84.0533247824,34
-7.78097272353,110.370886953,34
35.9250637,-86.8688899,34
34.2073196,-84.1401926,34
43.5499749,-96.700327,34
42.2574571088,-71.7853355088,36
48.7595529,-122.4882249,34
33.1001290941,-97.0068623618,28
-0.789275,113.921327,34
42.6771014529,-71.1470099118,37
40.4247575212,-86.9040923364,33
42.6009325364,-83.3150772061,9
40.379011297,-74.5311040394,29
40.6905851939,-73.1438785788,28
52.3728834848,4.89240072727,33
-34.6077781606,-58.374639603,33
42.7599736606,-71.4641444727,35
44.5120127242,-88.0212621909,33
41.5493116606,-87.4813449394,36
41.7166679406,-73.9217446031,32
35.8456213,-86.39027,32
37.6523805375,-77.531759675,32
32.0625497031,34.7913233531,31
39.9444720375,-74.1626528125,33
34.7303688,-86.5861037,32
40.6140915125,-75.3681661187,30
38.6317187219,-121.294368528,25
38.7816632594,-90.5471278656,32
40.0353618844,-76.3085842906,32
41.3872415344,-81.397117275,26
28.0394654,-81.9498042,32
14.5600603813,121.021913188,36
-22.9035393,-43.2095869,32
38.5695585156,-90.4736622938,8
41.1721797806,-81.4045098645,24
45.4102453387,-122.628058942,32
27.3364347,-82.5306527,31
31.230393,121.473704,31
38.0663006097,-122.270391052,56
34.0050079,-118.8100893,31
27.8005828,-97.396381,31
42.6436331323,-83.0203435,31
27.857519429,-82.7632451129,31
41.9191009742,-72.6321373645,31
40.2608240871,-76.8904036774,34
40.9652257097,-72.1760640548,31
40.8923926226,-74.6516785226,42
40.2435814258,-75.1317004903,38
38.2668235933,-122.65698623,30
42.0667429567,-72.60109836,21
30.6366225533,-96.3420111033,30
45.0619502,-92.8974246567,38
41.4185071867,-81.56277085,30
42.4439614,-76.5018807,30
35.60016445,-82.54614107,30
35.04400951,-85.3069914633,30
39.0190790367,-84.6547414833,31
42.42639605,-71.3770638733,34
-33.4247685067,-70.5681913333,30
39.3621461069,-84.5138049483,29
41.3558187793,-72.1150627276,27
33.1959622724,-97.1118605448,29
42.1021923759,-75.9264225034,36
39.3653278552,-76.4899421103,29
35.4371016,-80.8495241345,37
40.159940931,-75.5004454448,33
21.3817784207,-157.994433707,29
35.3732921,-119.0187125,29
38.6581435897,-77.2633641517,31
38.0293059,-78.4766781,29
33.4788651107,-82.0167417929,28
46.87636195,-96.7841581,28
27.6648274,-81.5157535,28
-6.2474466,107.1484521,30
40.5772149536,-111.879963307,29
-37.8148998036,144.964923354,28
39.0821467,-76.8714599929,24
40.2869553857,-74.8944125286,28
40.6167240786,-75.4894987536,28
34.9567523857,-81.0083316071,22
40.8160459,-81.3837555778,27
39.7452367852,-74.9795067111,31
40.0321109926,-82.8228710667,21
37.214854237,-93.2978032519,27
28.5491986222,-81.7682463259,27
38.6188596222,-90.5709052481,25
45.5284373333,-122.974733256,27
41.6778361074,-86.226312637,27
40.4240883115,-80.1133601615,21
42.2220991769,-71.5240075038,17
29.7857853,-95.8243956,26
35.6781006549,-78.8306347005,25
30.6943566,-88.0430541,26
42.1001923885,-71.0219567192,19
41.079273,-85.1393513,26
55.6852095769,12.5861684154,26
40.6935953769,-89.5877256654,26
42.205317532,-83.197292588,25
31.53891092,-97.155269836,25
41.422413776,-75.67576326,23
47.044282276,-122.913130668,25
36.0998596,-80.244216,25
32.725321468,-114.624295156,25
42.3628672208,-72.5955520167,28
29.619539725,-95.6227932,24
39.4142688,-77.4105409,24
42.7304957458,-83.2419622083,22
41.4552539667,-74.0095320708,24
37.5058710125,-77.6477719792,24
28.669997,-81.2081203,24
26.6417390625,-81.8726324708,24
41.6133539417,-87.8904826417,23
31.9685988,-99.9018131,24
42.02335,-93.625622,23
42.058436,-70.1786374,23
42.3309513522,-71.5677467043,23
28.3285970652,-80.6864725478,24
41.2048583696,-73.7375346739,39
41.7211995739,-71.4145487217,20
42.5974417174,-83.4169578391,16
37.0072903957,-76.380032487,25
34.1043817652,-84.5216125565,23
41.4346363826,-72.8687809391,19
41.2754760696,-75.9024832478,23
43.103920487,-88.4097588435,23
35.2376710391,-106.66490593,23
43.2064735,-70.8627879652,23
40.9275349348,-72.3378833913,22
27.5001146045,-82.5764860955,22
38.3365032,-75.0849058,22
36.2211922273,-86.5669348955,18
42.1142749364,-79.2830533091,22
28.1219464455,-82.7359089545,29
46.729553,-94.6858998,22
34.483901,-114.3224548,22
33.8333716,-111.9507042,22
33.6890603,-78.8866943,22
30.1620337909,-95.4832732455,22
42.1292241,-80.085059,22
41.2033216,-77.1945247,22
43.0504469864,-76.0382797636,22
25.6737077273,-100.306555455,22
39.904214,116.407413,22
39.7651458182,-86.3991992455,27
43.4639750909,-80.515876,22
35.1442312091,-89.7820038091,18
42.2783796238,-89.0887571429,21
41.9788836,-91.6831934857,22
42.4508953381,-71.5102017762,11
38.4408511571,-122.716244933,22
53.3406268571,-6.2677837,21
42.2733826905,-88.2206259238,22
46.7835338905,-92.1006563619,21
32.9430857571,-96.6010112429,21
42.3642808667,-88.053360519,21
13.6911496619,100.701374252,17
42.9133094381,-87.8630666905,21
37.2010814143,-80.4125106143,21
-6.58806138095,106.795177238,21
40.3938056619,-79.757435719,19
42.1557528143,-88.136893919,17
38.2952980714,-122.461183843,21
39.3043587381,-74.5875072333,16
32.52224813,-93.74255521,20
40.3375362099,-75.9456030088,19
29.8942639,-81.3132083,20
34.2163937,-119.0376023,20
41.656816155,-72.82831647,18
42.814032165,-73.93672595,21
39.1910983,-106.8175387,20
41.00527,28.97696,20
41.6751511,-91.558587395,20
39.67268445,-84.119242175,20
30.0799405,-95.4171601,20
38.74272695,-77.49265572,20
39.91271176,-82.79447125,18
32.463476325,-84.990973375,20
44.5645659,-123.2620435,20
45.463434965,9.18783047,20
47.2528768,-122.4442906,20
37.268803725,-79.94499606,20
48.1391265,11.5801863,20
42.7888393474,-86.1041785684,19
39.2283338474,-84.3119850737,13
41.5004314263,-90.5488130474,20
-36.8500103421,174.761232026,19
40.3973947316,-111.819289579,20
35.2827524,-120.6596156,19
40.2570742579,-111.671838784,19
26.1337302632,-80.3483951579,19
37.9747644,-87.5558482,19
39.3252634316,-84.2780811737,17
35.6058383684,-77.3697718316,19
37.2707022,-76.7074571,19
40.5311593211,-74.7912058947,22
36.0600679737,-94.1614215211,19
40.3514447105,-80.0442165684,18
39.629526,-79.9558968,19
28.8794421167,-81.2809174611,18
43.1432764444,-77.44956795,18
35.4087517,-80.579511,18
28.1535345167,-81.6044270167,18
-6.95,107.4,18
47.6081184667,-122.674233078,19
41.6579966167,-70.2765489111,21
43.2055778889,-88.1281624,18
41.4901024,-71.3128285,18
42.8323800389,-71.2650045222,18
26.9312000056,-80.0919401222,18
37.9410037444,-121.663254972,18
37.6366435556,-120.994702178,18
34.2659,-119.258366,18
41.7266667,-93.6041667,18
41.3844805333,2.16611507222,18
40.1601698222,-105.109582144,18
40.8809617444,-72.8796288167,18
41.4052636389,-73.6618421056,18
60.1698201471,24.9383132059,17
30.5138577059,-97.8241452471,17
35.0425809412,-80.9428202176,16
37.4673427471,-122.433749847,17
42.5595308882,-71.4202113471,15
38.5772718471,-89.9504623353,18
42.0163695765,-71.2065116176,17
43.8882807529,-79.2494531176,17
33.7320970471,-116.372837847,13
43.8506055176,-79.4547358824,17
39.7028500353,-74.2331188412,17
41.5554429529,-87.6810594353,18
41.6474816235,-88.0672177882,12
25.2644444,55.3116667,17
45.7832856,-108.5006904,17
26.8140484882,-80.1104349471,16
42.2411499,-83.6129939,17
38.5992893706,-122.859846659,17
41.9329702882,-88.7466228824,17
40.6945756353,-75.2281018059,17
38.4495688,-78.8689155,17
43.1145141294,-75.2613419294,17
40.4175290824,-3.700048,17
40.12410835,-82.934625375,20
61.2180556,-149.9002778,16
41.0359353,-71.9545146,16
43.1972222,-71.5505981188,16
29.687227625,-95.2105421625,16
41.4032567813,-82.0615174375,20
34.1912895625,-119.179308575,16
34.6100243,-112.315721,16
42.7261309,-87.7828523,16
41.4489396,-82.7079605,16
42.0591407562,-88.27858595,18
33.88562485,-84.75247185,8
32.8406946,-83.6324022,15
39.9673901,-74.8008491333,22
38.5051866,-122.4702578,15
38.2544472,-104.6091409,15
34.4253293067,-119.843194253,15
44.0247062,-88.5426136,15
32.2970022,-90.1789443867,15
41.7798158867,-72.2128874867,15
32.8795022,-111.7573521,15
47.1930266933,-122.283045473,15
39.5872222,-78.8425,15
38.916343,-94.383516,15
47.3859695067,8.53851784,15
42.5848350867,-87.8214261467,15
41.4444640333,-71.4784158067,15
39.5937809667,-84.2722736867,15
38.9581686,-76.2102288,15
35.6528323,-97.4780954,15
26.1420358,-81.7948103,15
33.3703197,-112.5837766,15
45.20235636,-93.4143324,21
24.5582560133,-81.78066036,15
40.5919236857,-80.0003877286,14
37.9552736571,-121.285690514,14
34.8957957,-117.0172826,14
39.6450453071,-106.58465155,14
30.1608822571,-81.7073766571,14
42.1243010571,-71.4558180286,15
41.7012208429,-83.6943819143,10
38.4087993,-121.3716178,14
-7.981894,112.626503,14
33.4150485,-111.5495777,14
41.42598115,-70.5600521143,14
42.3824778929,-82.9209865286,15
33.2112097214,-87.5697489143,14
35.9612081429,-79.9953171,14
33.8230741714,-116.533863386,14
12.9715987,77.5945627,14
39.5500507,-105.7820674,14
39.5210103214,-84.3694660071,10
39.4735458643,-76.2896323357,15
41.5510430643,-72.86511375,14
38.4015781,-122.3608105,14
36.6777372,-121.6555013,14
41.2798201071,-70.1066858929,14
39.7817213,-89.6501481,14
41.3899310714,-71.9709813929,12
48.20662,16.38282,14
29.7030024,-98.1244531,14
44.7630567,-85.6206317,14
30.26190445,-81.3908861,14
43.0831301,-73.7845651,14
44.0581728,-121.3153096,14
42.6976302571,-83.3975135714,14
38.5449065,-121.7405167,13
37.6818745,-121.7680088,13
41.5642213154,-73.0498455692,12
32.6098566,-85.4807825,13
29.5465803077,-95.0716016923,13
41.6085392692,-88.2038890231,12
40.6860049538,-76.1954993538,13
30.0068010385,-95.2530739538,12
40.6427391538,-80.2583477923,13
32.216316,-80.752608,13
41.1586111,-95.9341667,19
41.2803052154,-72.6146751077,9
-8.4095178,115.188916,13
39.0117362308,-94.2621275154,13
42.1061409462,-70.8577638462,15
38.0209678769,-121.866325246,16
42.8424005231,-78.6472026385,13
34.8697395,-111.7609896,13
47.9263513846,-97.028943,13
43.2648333923,-87.9791068923,13
41.0776620077,-81.6623637769,13
32.3199396,-106.7636538,13
42.0166667,-94.3766667,13
41.9225553538,-71.3335030462,10
20.6802171846,-103.352448692,13
38.7977863,-90.7281617077,15
48.4317943077,-123.366736046,14
59.3327881,18.0644881,13
44.6500360769,-63.5747635385,13
29.5456993167,-95.1946151417,7
28.6166398667,-80.8106556083,12
53.543564,-113.490452,12
36.0091031,-75.661171075,12
37.4315734,-78.6568942,12
39.3722121,-104.8560902,12
43.7161803,-75.4165699,12
39.4816537,-106.0383518,12
42.7658583,-78.774722125,11
31.1243133167,-97.7559839417,12
45.68346,-111.050499,12
39.56417,-119.48056,12
41.2798424417,-81.3182458667,12
43.4799291,-110.7624282,12
29.5534236667,-98.2763546167,12
43.0125274,-83.6874562,12
35.6869752,-105.937799,12
34.5361067,-117.2911565,12
38.7024483417,-77.072413825,12
49.2308220833,-122.954544,11
34.6867846,-118.1541632,12
41.6287766833,-70.95096515,13
25.9017472,-97.4974838,12
29.8832749,-97.9413941,12
41.1339834833,-80.7199956583,19
44.0169014,-107.9553721,12
43.414469875,-83.9450426,12
39.439082475,-74.5434017,12
20.88773145,-156.681990733,13
41.336446375,-72.3957366583,13
41.8780025,-93.097702,12
35.1238877167,-120.611883492,12
42.979398,-81.246138,11
30.2251503545,-92.0266358364,11
37.0057816,-121.5682751,11
40.1933767,-85.3863599,11
34.5400242,-112.4685025,11
39.3906404455,-84.1857946091,10
41.0980902909,-74.5454175273,12
38.3031837,-77.4605399,11
38.6705872091,-76.8842093636,13
33.4035503909,-84.5958892182,11
40.3808729909,-75.3176470273,11
26.2034071,-98.2300124,11
41.0289862818,-74.7420333182,13
43.8240065818,-91.2383694091,13
39.5069974,-84.745231,11
41.0948933,-112.004891764,9
19.0176147,72.8561644,11
40.1053196,-85.6802541,11
36.0939724545,-79.4545272,11
4.5980556,-74.0758333,11
43.6863994364,-72.2853156455,11
30.4015039182,-86.4995078636,12
41.9629832364,-70.0405023727,11
36.3302284,-119.2920585,11
39.0558235,-95.6890185,11
29.8044137636,-85.2946185818,11
37.4153192455,-79.1405039545,11
47.3599839273,-122.064682045,11
37.3058839,-89.5181476,11
41.5480106909,-88.0782912182,11
33.8490477364,-83.9107385273,9
-27.4619478273,153.012011118,11
35.2225668,-97.4394777,11
51.2241409182,6.78190863636,11
43.8407090909,-79.0626969818,11
42.4804447909,-89.0331901,11
50.819522,-0.13642,11
34.1889653636,-83.9214685909,11
49.1097840909,-122.835644818,11
33.362778,-112.168611,11
41.4341456,-73.2635896,11
20.88452776,-156.47788889,9
43.79021622,-88.79267549,10
39.25051736,-77.19345142,25
32.58396897,-96.79119266,11
30.40364291,-88.86861277,10
38.20023026,-85.61557594,9
43.452879,-79.701648,10
34.4480495,-119.242889,10
28.17823426,-82.45992738,10
44.93654616,-93.66623858,24
32.3512601,-95.3010624,10
43.7691537427,-79.2663276942,10
40.64183998,-111.5063899,10
42.97422364,-77.41096368,10
30.1765914,-85.8054879,10
39.7284944,-121.8374777,10
47.53699082,-121.84053018,10
26.60642181,-80.15866817,10
47.6262081,-122.5212448,10
43.22765361,-86.2499475,10
53.4807125,-2.2343765,10
47.31990296,-122.57715678,9
34.93506124,-82.2408908,10
22.3083934,113.923907,10
36.5258818,-87.36345292,10
34.2367621,-84.4907621,10
-5.14135313,119.43246178,10
38.88888126,-90.14144165,10
44.94761969,-123.03420744,10
28.1786111,-82.3505556,11
28.01928154,-82.37634569,7
38.04036521,-122.15124402,10
44.80927672,-91.49485888,10
45.5538889,-94.1702778,10
21.40847225,-157.79319447,10
37.1305012,-121.6543901,9
28.635308,77.22496,9
41.4730948,-87.0611412,9
40.3778848,-105.076338389,9
38.9351125,-74.9060053,9
41.5777801,-73.4375395333,18
31.5506115889,-110.283153544,9
42.0442013,-71.334883,1
41.5987940889,-72.6461784778,9
33.7146823667,-116.237784822,9
39.6249897778,-106.068146311,10
40.4172871,-82.907123,9
35.5280783,-108.7425843,9
33.4473361,-84.1468616,12
39.755543,-105.2210997,9
41.1383877,-81.8637474,10
21.158964,-86.845937,9
28.1833333,-82.5683333,9
51.4959419333,-0.441910044444,9
49.2792634778,-122.785800378,9
41.2915792556,-72.7398453111,9
42.9492586667,-89.4414164667,9
33.6718426,-117.315224078,9
41.8594855111,-72.7760791667,8
36.2840020667,-86.6769647778,8
29.1871986,-82.1400923,9
35.042036,-89.6645266,9
39.8309293,-77.2310955,9
39.8467767,-75.7116032,9
50.9406645,6.9599115,9
9.94197163333,-84.0816089222,9
41.1399814,-104.8202462,9
39.6065901,-86.1036587444,9
40.9001302111,-111.878209378,9
42.0273444778,-73.8989610222,9
1.46054267778,124.840025533,9
43.8748415556,-78.9574409778,5
35.0868447,-80.6940195,9
34.9432807778,-120.435749933,9
41.5877058,-83.6735781333,9
43.0950453222,-79.0399647222,10
44.8006882889,-68.7759927778,9
41.152688,-74.3448431333,13
42.0379121889,-86.4905347444,9
39.2067006667,-74.6776229556,8
28.6839111111,-81.5056967778,9
44.1635775,-93.9993996,9
40.5385950333,-85.6173524556,9
59.8230557,22.9692791,9
49.886083,-97.152921,9
30.3674198,-89.0928155,9
34.5794343,-118.1164613,9
38.4220694,-77.4083162,9
37.4562557,126.7052062,9
44.0216306,-92.4698992,9
40.2986724,-83.067965,9
41.5704740444,-73.9161558222,8
33.2696199222,-86.8202972778,9
44.9591352,-89.6301221,9
35.7911047,-78.4995627222,9
41.2110555111,-111.982997244,9
41.8085530889,-73.1748964333,9
43.1644196667,-76.1264359889,9
44.3148443,-85.6023643,9
41.3955718875,-74.1960266125,5
42.5916836,-88.4334301,8
29.945736475,-93.9251433375,8
42.34341965,-73.275662,8
32.3668052,-86.2999689,8
26.5628537,-81.9495331,8
35.1595182,-84.8766115,8
38.800464275,-89.953504225,8
8.994269,-79.518792,8
33.5801103,-85.0766113,8
39.0638705,-108.5506486,8
43.0719066,-85.611737975,8
